YEAR,EW,MONTH,DAY,WKDATE,PROVINCE,STATION,TEMP_AVG,DTR_AVG,DTR_MAX,DTR_MIN,TEMP_MAX,TEMP_MAX_AVG,TEMP_MIN,TEMP_MIN_AVG,PRECIP_AVG,PRECIP_TOTAL,RH_AVG,RH_MAX,RH_MIN,RH_RANGE
2015,1,1,4,4-Jan-15,Barahona,Barahona,25.48571429,10.91428571,12.5,8.6,31.5,30.94285714,19,20.02857143,0,0,67.71428571,71.6,63.8,7.8
2015,1,1,4,4-Jan-15,La Altagracia,Punta Cana,26.48571429,5.571428571,7.6,4.2,29.6,29.27142857,22,23.7,1.485714286,10.4,64.84285714,78.6,8.3,70.3
2015,1,1,4,4-Jan-15,La Romana,La Romana,24.27857143,13.04285714,14.8,11,31.8,30.8,16,17.75714286,1.3,9.1,79.25714286,82.8,75.5,7.3
2015,1,1,4,4-Jan-15,La Vega,Constanza,16.58571429,13.57142857,15.1,12.6,24.1,23.37142857,7.4,9.8,NaN,NaN,NaN,NaN,NaN,NaN
2015,1,1,4,4-Jan-15,La Vega,La Vega,24.26428571,10.52857143,11.4,9.5,30,29.52857143,17.5,19,NaN,NaN,NaN,NaN,NaN,NaN
2015,1,1,4,4-Jan-15,Monte Cristi,Monte Cristi,25.52142857,10.92857143,12,9.4,31.8,30.98571429,19.4,20.05714286,0,0,66.32857143,78,61.8,16.2
2015,1,1,4,4-Jan-15,Puerto Plata,La Union,24.38571429,9.171428571,11,7,30,28.97142857,19,19.8,4.442857143,31.1,86.94285714,88.6,84.8,3.8
2015,1,1,4,4-Jan-15,Samana,Samana,26.17857143,5.642857143,6.5,4.5,29.5,29,22.5,23.35714286,4.857142857,34,85.02857143,88.2,82.4,5.8
2015,1,1,4,4-Jan-15,San Cristobal,Loyola,26.12142857,8.528571429,9.5,7.1,31.4,30.38571429,21.2,21.85714286,NaN,NaN,NaN,NaN,NaN,NaN
2015,1,1,4,4-Jan-15,Santiago,Santiago,23.54285714,10.68571429,12.3,8.6,29.8,28.88571429,16.4,18.2,0.914285714,6.4,85.22857143,91.3,81.6,9.7
2015,1,1,4,4-Jan-15,Santo Domingo,Santo Domingo,26.66428571,8.328571429,9.3,7.2,32.3,30.82857143,21.5,22.5,0.8,4.8,81.82857143,85,77.6,7.4
2015,2,1,11,11-Jan-15,Barahona,Barahona,26.00714286,10.44285714,14.4,8.4,33.4,31.22857143,19,20.78571429,0.328571429,2.3,73.11428571,75.8,68.8,7
2015,2,1,11,11-Jan-15,La Altagracia,Punta Cana,25.85714286,7.285714286,10.9,6.4,29.8,29.5,18.8,22.21428571,0.175,0.7,80.48571429,83.4,74.8,8.6
2015,2,1,11,11-Jan-15,La Romana,La Romana,24.25,12.38571429,14,11,31.5,30.44285714,17,18.05714286,0.614285714,4.3,80.48571429,87,72.7,14.3
2015,2,1,11,11-Jan-15,La Vega,Constanza,18.18571429,12.91428571,15.5,7.9,26.9,24.64285714,9.6,11.72857143,NaN,NaN,NaN,NaN,NaN,NaN
2015,2,1,11,11-Jan-15,La Vega,La Vega,24.5,9.571428571,10.5,9,30.5,29.28571429,18,19.71428571,NaN,NaN,NaN,NaN,NaN,NaN
2015,2,1,11,11-Jan-15,Monte Cristi,Monte Cristi,26.27142857,9.685714286,11.8,8.2,33.3,31.11428571,19.8,21.42857143,0.114285714,0.8,70.4,74.6,65,9.6
2015,2,1,11,11-Jan-15,Puerto Plata,La Union,24.83571429,9.128571429,11.7,6.6,31.2,29.4,19.4,20.27142857,3.957142857,27.7,87.28571429,93.4,82,11.4
2015,2,1,11,11-Jan-15,Samana,Samana,26.71428571,5.485714286,6.5,4.5,30,29.45714286,23.2,23.97142857,10.47142857,73.3,84.25714286,87.8,81,6.8
2015,2,1,11,11-Jan-15,San Cristobal,Loyola,25.53571429,7.7,9.5,6.9,29.7,29.38571429,19.6,21.68571429,NaN,NaN,NaN,NaN,NaN,NaN
2015,2,1,11,11-Jan-15,Santiago,Santiago,24.77857143,9.1,11,7.6,30.6,29.32857143,19.3,20.22857143,3.871428571,27.1,87,96.1,81.3,14.8
2015,2,1,11,11-Jan-15,Santo Domingo,Santo Domingo,26.61428571,7.685714286,8.1,7,31,30.45714286,21.9,22.77142857,3.133333333,18.8,85.72857143,89,82,7
2015,3,1,18,18-Jan-15,Barahona,Barahona,25.73571429,9.928571429,11.7,7.3,31.5,30.7,19.4,20.77142857,0.871428571,6.1,70.05714286,75.6,65.4,10.2
2015,3,1,18,18-Jan-15,La Altagracia,Punta Cana,25.22857143,8.628571429,12.3,5.6,30,29.54285714,17.1,20.91428571,0.042857143,0.3,79.25714286,83.6,74.1,9.5
2015,3,1,18,18-Jan-15,La Romana,La Romana,24.32142857,12.75714286,14.2,11,31.2,30.7,17,17.94285714,0.171428571,1.2,79.44285714,82.7,76.3,6.4
2015,3,1,18,18-Jan-15,La Vega,Constanza,17.55714286,14.71428571,16.3,13.8,26.5,24.91428571,9.5,10.2,NaN,NaN,NaN,NaN,NaN,NaN
2015,3,1,18,18-Jan-15,La Vega,La Vega,24.34285714,10.31428571,11.5,9.5,30.5,29.5,18,19.18571429,NaN,NaN,NaN,NaN,NaN,NaN
2015,3,1,18,18-Jan-15,Monte Cristi,Monte Cristi,25.2,10.45714286,11.4,9.3,31.4,30.42857143,18.8,19.97142857,0,0,69.31428571,71.4,67.2,4.2
2015,3,1,18,18-Jan-15,Puerto Plata,La Union,23.92857143,9.457142857,11.3,5.2,30,28.65714286,18,19.2,1.728571429,12.1,85.55714286,90,82,8
2015,3,1,18,18-Jan-15,Samana,Samana,25.74285714,5.514285714,6,5,29.5,28.5,21.7,22.98571429,1.314285714,9.2,83.68571429,87.2,79.6,7.6
2015,3,1,18,18-Jan-15,San Cristobal,Loyola,24.80714286,9.785714286,11.5,7.2,30.4,29.7,18,19.91428571,NaN,NaN,NaN,NaN,NaN,NaN
2015,3,1,18,18-Jan-15,Santiago,Santiago,23.63571429,11.9,14.2,10,30.8,29.58571429,15,17.68571429,0.25,1.5,83.04285714,88.5,80.3,8.2
2015,3,1,18,18-Jan-15,Santo Domingo,Santo Domingo,26.28571429,8.542857143,10.8,6.4,32,30.55714286,21,22.01428571,0.171428571,1.2,82.95714286,87.1,79,8.1
2015,4,1,25,25-Jan-15,Barahona,Barahona,25.45,9.528571429,11.5,6.3,31.5,30.21428571,19.5,20.68571429,9.5,66.5,74.82857143,86.6,68,18.6
2015,4,1,25,25-Jan-15,La Altagracia,Punta Cana,25.85714286,8.2,10.6,4.9,31,29.95714286,19.4,21.75714286,1.9,13.3,81.41428571,84.8,77.5,7.3
2015,4,1,25,25-Jan-15,La Romana,La Romana,24.96428571,11.84285714,13.7,10,31.8,30.88571429,17.8,19.04285714,1.914285714,13.4,80.62857143,87.7,77.3,10.4
2015,4,1,25,25-Jan-15,La Vega,Constanza,18.02857143,10.65714286,15.3,3.5,26.2,23.35714286,10.7,12.7,NaN,NaN,NaN,NaN,NaN,NaN
2015,4,1,25,25-Jan-15,La Vega,La Vega,24.30714286,9.757142857,11,7.8,31,29.18571429,18,19.42857143,NaN,NaN,NaN,NaN,NaN,NaN
2015,4,1,25,25-Jan-15,Monte Cristi,Monte Cristi,23.77142857,6.257142857,9.1,2.3,31.1,26.9,18.5,20.64285714,23.64285714,165.5,81.02857143,91.2,69.4,21.8
2015,4,1,25,25-Jan-15,Puerto Plata,La Union,23.62857143,8.514285714,11.6,6.3,31.6,27.88571429,18.4,19.37142857,32.27142857,225.9,87.58571429,94.4,77.9,16.5
2015,4,1,25,25-Jan-15,Samana,Samana,25.72857143,5.971428571,9.3,4,31,28.71428571,20.2,22.74285714,26.38571429,184.7,86.37142857,91,80.2,10.8
2015,4,1,25,25-Jan-15,San Cristobal,Loyola,25.04285714,8.742857143,10.1,6.9,30.1,29.41428571,19.7,20.67142857,NaN,NaN,NaN,NaN,NaN,NaN
2015,4,1,25,25-Jan-15,Santiago,Santiago,24.17857143,9.014285714,11.4,5.7,31.4,28.68571429,18.8,19.67142857,7.171428571,50.2,84.84285714,92,75.8,16.2
2015,4,1,25,25-Jan-15,Santo Domingo,Santo Domingo,26.22142857,7.814285714,9.5,6.9,31,30.12857143,21.5,22.31428571,4.85,29.1,86,89.8,83.2,6.6
2015,5,2,1,1-Feb-15,Barahona,Barahona,25.21428571,9.714285714,11.5,8,31,30.07142857,19,20.35714286,6.133333333,36.8,75.14285714,83.8,69.2,14.6
2015,5,2,1,1-Feb-15,La Altagracia,Punta Cana,25.95714286,7.314285714,11.1,4.8,30.5,29.61428571,19.4,22.3,0.483333333,2.9,78.98571429,82.6,72.1,10.5
2015,5,2,1,1-Feb-15,La Romana,La Romana,24.88571429,11.25714286,14.2,9.7,31.4,30.51428571,17.2,19.25714286,2.9,20.3,80.5,86.8,74.7,12.1
2015,5,2,1,1-Feb-15,La Vega,Constanza,17.55714286,12.25714286,15.4,9.1,26,23.68571429,10.5,11.42857143,NaN,NaN,NaN,NaN,NaN,NaN
2015,5,2,1,1-Feb-15,La Vega,La Vega,24.10714286,9.785714286,11.5,7.5,31,29,17,19.21428571,NaN,NaN,NaN,NaN,NaN,NaN
2015,5,2,1,1-Feb-15,Monte Cristi,Monte Cristi,25.10714286,9.642857143,12.1,8.2,30.9,29.92857143,18.5,20.28571429,0.5,3.5,72.4,77.2,64.6,12.6
2015,5,2,1,1-Feb-15,Puerto Plata,La Union,25.30714286,10.5,17.1,8,36.7,30.55714286,18.4,20.05714286,9.471428571,66.3,83.65714286,85.9,80.8,5.1
