YEAR,EPIWEEK,Distrito_Nacional,Azua,Baoruco,Barahona,Dajabon,Duarte,Elias_Pina,El_Seibo,Espaillat,Independencia,La_Altagracia,La_Romana,La_Vega,Maria_Trinidad_Sanchez,Monte_Cristi,Pedernales,Peravia,Puerto_Plata,Hermanas_Mirabal,Samana,San_Cristobal,San_Juan,San_Pedro_de_Macoris,Sanchez_Ramirez,Santiago,Santiago_Rodriguez,Valverde,Monsenor_Nouel,Monte_Plata,Hato_Mayor,San_Jose_de_Ocoa,Santo_Domingo,Extranjero,TOTAL,EWID2
2015,1,2,3,0,7,0,7,0,0,1,1,0,3,3,0,0,0,0,1,0,2,11,2,0,1,4,1,1,0,0,0,1,30,0,81,04-Jan-2015
2015,2,11,1,1,8,0,3,1,1,2,1,2,1,1,2,0,0,1,3,1,0,6,0,0,3,9,1,2,1,0,1,3,23,0,89,11-Jan-2015
2015,3,5,0,4,4,0,8,0,2,0,3,0,2,4,0,1,3,1,2,2,0,4,0,1,0,10,0,0,1,3,0,2,22,0,84,18-Jan-2015
2015,4,0,2,0,3,2,5,0,0,1,1,1,0,3,2,0,0,0,1,1,0,6,1,2,0,11,0,0,2,0,1,0,21,0,66,25-Jan-2015
2015,5,6,0,2,3,0,3,0,1,0,1,1,1,2,0,1,0,4,1,4,0,1,0,1,0,10,1,0,2,1,0,0,23,0,69,01-Feb-2015
2015,6,8,9,3,4,0,3,0,0,0,1,0,2,3,4,0,0,1,1,7,0,9,0,2,1,17,0,0,3,2,0,0,18,0,98,08-Feb-2015
2015,7,7,4,0,5,1,1,0,0,1,1,0,0,2,1,5,0,1,0,2,1,4,1,2,2,10,0,0,6,1,0,0,25,0,83,15-Feb-2015
2015,8,6,2,3,8,0,2,0,0,2,3,1,3,4,1,0,1,0,0,2,1,3,2,1,1,12,1,0,0,0,0,0,24,0,83,22-Feb-2015
2015,9,9,4,2,11,0,3,0,0,2,1,1,0,8,0,0,6,1,1,1,0,7,1,1,1,19,2,0,3,1,0,3,29,0,117,01-Mar-2015
2015,10,6,6,5,8,1,1,0,0,1,0,1,0,3,1,6,0,5,2,3,0,6,0,0,1,13,1,1,0,1,0,0,30,0,102,08-Mar-2015
2015,11,9,4,1,5,0,4,0,0,2,2,0,1,3,0,1,0,2,0,1,0,11,2,2,3,14,0,5,2,0,0,1,23,0,98,15-Mar-2015
2015,12,2,5,2,8,0,0,0,0,1,3,1,0,1,1,0,0,3,0,6,0,2,0,3,3,14,1,1,0,1,1,2,11,0,72,22-Mar-2015
2015,13,1,5,1,5,0,2,0,0,0,0,0,0,3,1,0,0,1,0,6,0,4,3,0,2,6,0,3,4,0,2,2,25,0,76,29-Mar-2015
2015,14,7,4,3,5,0,6,0,0,1,3,0,0,5,1,5,1,2,2,3,0,2,0,2,0,7,1,1,0,1,0,0,35,0,97,05-Apr-2015
2015,15,11,6,0,4,0,1,0,0,1,2,2,0,8,1,0,0,0,3,6,0,3,0,1,0,5,2,0,1,0,0,1,22,0,80,12-Apr-2015
2015,16,9,2,0,9,0,6,0,1,0,2,0,0,2,0,0,0,1,2,2,0,3,2,0,3,16,0,2,1,2,1,1,18,0,85,19-Apr-2015
2015,17,18,2,1,3,1,5,0,1,5,1,1,2,6,1,0,0,1,2,2,0,2,2,0,5,11,0,2,3,0,1,0,25,0,103,26-Apr-2015
2015,18,15,2,2,7,0,1,0,0,1,0,0,1,3,1,7,1,3,2,4,0,6,2,2,2,19,0,1,4,0,0,2,26,1,115,03-May-2015
2015,19,19,5,2,4,0,2,0,0,3,0,1,1,10,2,0,2,0,0,4,1,8,0,1,10,20,1,1,1,0,0,1,39,0,138,10-May-2015
2015,20,15,3,0,7,0,6,0,0,2,0,1,2,5,4,0,0,1,2,1,1,10,2,2,6,13,1,1,5,0,0,0,22,0,112,17-May-2015
2015,21,22,3,0,2,1,3,0,0,1,0,0,1,5,3,0,0,0,2,2,1,7,1,1,7,10,0,1,0,4,4,0,27,0,108,24-May-2015
2015,22,23,2,0,14,0,2,0,0,7,1,0,0,7,0,1,1,3,3,5,1,6,1,3,9,13,1,1,1,0,1,0,30,0,136,31-May-2015
2015,23,16,0,1,7,0,1,0,0,1,0,1,0,3,1,0,0,2,4,2,2,8,1,2,19,13,2,2,0,1,1,0,31,0,121,07-Jun-2015
2015,24,22,2,1,9,0,1,0,0,4,0,0,1,5,0,2,0,3,3,8,7,12,3,2,9,11,3,1,5,2,2,2,25,0,145,14-Jun-2015
2015,25,20,3,3,7,1,3,0,0,4,0,2,0,3,1,4,1,2,2,3,1,10,2,7,17,6,0,1,5,3,5,1,45,0,162,21-Jun-2015
2015,26,24,0,0,10,3,6,1,0,4,0,2,1,2,1,0,3,1,1,3,1,3,3,7,10,21,0,2,6,1,1,0,45,0,162,28-Jun-2015
2015,27,21,3,0,4,1,9,0,1,2,0,2,1,7,2,0,0,6,4,4,1,10,2,7,15,8,2,4,3,3,4,3,52,0,181,05-Jul-2015
2015,28,33,9,0,4,0,5,0,1,1,0,2,1,10,3,2,1,3,2,11,0,14,0,3,19,14,1,0,5,3,4,1,57,0,209,12-Jul-2015
2015,29,31,2,1,3,4,11,0,3,3,0,2,0,18,6,2,0,2,10,3,0,11,1,7,19,28,3,5,6,3,6,2,61,0,253,19-Jul-2015
2015,30,35,2,0,4,2,10,0,0,3,0,2,1,25,1,3,0,2,5,6,1,18,2,1,18,29,3,4,6,5,4,4,76,0,272,26-Jul-2015
2015,31,32,3,0,2,6,10,2,1,8,0,0,0,17,1,2,0,6,8,7,4,12,5,5,26,29,0,5,20,5,7,0,100,0,323,02-Aug-2015
2015,32,28,3,1,3,3,13,1,1,0,0,1,1,29,4,2,0,2,8,5,8,16,1,5,27,27,0,3,10,10,5,0,80,0,297,09-Aug-2015
